fid,type,if_si,name,geometry
312,pier,true,,POINT(347538.6880895031 6644415.848237668)
310,pier,true,,POINT(347586.29461840994 6644444.402476467)
595,pier,true,,POINT(346257.8685627757 6643619.316957527)
538,pier,true,,POINT(346729.7521424998 6644504.490185579)
584,pitch,true,,POINT(347514.06713030935 6643128.464417228)
477,pitch,true,,POINT(346798.8551901374 6643792.7298187865)
584,pitch,true,,POINT(347530.7947131981 6643125.03235904)
584,pitch,true,,POINT(347522.84057902737 6643148.733239817)
444,pitch,true,,POINT(347752.6427857046 6642525.981790545)
444,pitch,true,,POINT(347745.52471933974 6642508.402648446)
477,pitch,true,,POINT(346819.57640524855 6643778.742994833)
582,pitch,true,,POINT(347793.4952911496 6643438.449623587)
582,pitch,true,,POINT(347802.133018208 6643417.328885887)
582,pitch,true,,POINT(347819.49100781267 6643414.284196048)
582,pitch,true,,POINT(347810.8302364744 6643434.840610401)
446,pitch,true,,POINT(347686.9841356079 6642324.2984612575)
582,pitch,true,,POINT(347792.7150174343 6643439.915042636)
580,pitch,true,,POINT(347846.94431243243 6643319.740370232)
580,pitch,true,,POINT(347861.04803049954 6643307.295901327)
580,pitch,true,,POINT(347884.41535256046 6643316.182310034)
580,pitch,true,,POINT(347869.27053022344 6643330.992844051)
477,pitch,true,,POINT(346836.72663896607 6643783.230329298)
509,pitch,true,,POINT(346750.99209115346 6642272.179782031)
580,pitch,true,,POINT(347846.75971753144 6643320.192035423)
467,pitch,true,,POINT(347692.89046879666 6643265.505438376)
509,pitch,true,,POINT(346747.8594158763 6642289.6225747075)
457,pitch,true,,POINT(347882.2420259713 6643054.126935847)
509,pitch,true,,POINT(346735.04821543145 6642269.015029008)
477,pitch,true,,POINT(346850.7427559092 6643803.931741469)
444,pitch,true,,POINT(347767.503969275 6642496.674416291)
477,pitch,true,,POINT(346834.5289822279 6643818.789812626)
477,pitch,true,,POINT(346816.50871079235 6643818.803227891)
477,pitch,true,,POINT(346802.4924661416 6643798.101902188)
467,pitch,true,,POINT(347716.64411510795 6643273.300582798)
449,pitch,true,,POINT(347372.9895128876 6642576.624469263)
484,pitch,true,,POINT(347241.9932413301 6643462.662977341)
467,pitch,true,,POINT(347731.7750011998 6643285.4491911065)
467,pitch,true,,POINT(347719.06427552574 6643299.516531468)
449,pitch,true,,POINT(347397.51546804875 6642576.701023101)
467,pitch,true,,POINT(347695.31052006135 6643291.721719005)
484,pitch,true,,POINT(347233.3537482998 6643486.122712211)
446,pitch,true,,POINT(347665.1424493672 6642336.4615505915)
484,pitch,true,,POINT(347224.71425526956 6643509.582447082)
484,pitch,true,,POINT(347216.0747622393 6643533.042181952)
462,pitch,true,,POINT(347541.48813194036 6642122.3611596525)
449,pitch,true,,POINT(347397.92729456257 6642601.697630849)
462,pitch,true,,POINT(347552.91263200727 6642144.598083819)
462,pitch,true,,POINT(347569.59373738547 6642150.519600444)
462,pitch,true,,POINT(347564.6761410419 6642130.379155167)
449,pitch,true,,POINT(347375.3488283461 6642604.4475290105)
449,pitch,true,,POINT(347350.3521895453 6642604.857466396)
447,pitch,true,,POINT(347719.7310844904 6642490.520239477)
444,pitch,true,,POINT(347778.3232822549 6642512.244123867)
444,pitch,true,,POINT(347756.92809218436 6642524.879939069)
462,pitch,true,,POINT(347550.0954907697 6642117.951513531)
447,pitch,true,,POINT(347707.6954813726 6642468.60804521)
569,pitch,true,,POINT(348046.4899210666 6643162.213264178)
569,pitch,true,,POINT(348070.7588830398 6643168.214721062)
569,pitch,true,,POINT(348064.53725461836 6643180.999426087)
569,pitch,true,,POINT(348040.26843670045 6643174.997390391)
447,pitch,true,,POINT(347727.89711020957 6642456.09967842)
389,pitch,true,,POINT(347285.2096790374 6641827.308947443)
484,pitch,true,,POINT(347207.4352692091 6643556.501916822)
422,pitch,true,,POINT(346613.1371948232 6642881.489109012)
422,pitch,true,,POINT(346622.5723624284 6642896.431745164)
422,pitch,true,,POINT(346617.44300715765 6642920.8998818835)
389,pitch,true,,POINT(347307.52117940044 6641816.030784846)
389,pitch,true,,POINT(347328.0914017862 6641804.181754974)
389,pitch,true,,POINT(347314.3155361553 6641789.424250367)
389,pitch,true,,POINT(347292.00403944193 6641800.702420183)
389,pitch,true,,POINT(347278.9833351599 6641815.026466182)
417,pitch,true,,POINT(347030.0411890502 6643140.409978317)
417,pitch,true,,POINT(347044.8269728989 6643130.408403336)
417,pitch,true,,POINT(347031.77387405 6643135.282423794)
596,pitch,true,,POINT(347167.8076773739 6641576.610944639)
594,pitch,true,,POINT(346312.52815745224 6643563.956375362)
594,pitch,true,,POINT(346325.14760545024 6643548.204621439)
594,pitch,true,,POINT(346343.8376766503 6643543.910680532)
594,pitch,true,,POINT(346341.35804003297 6643561.406916315)
594,pitch,true,,POINT(346320.9303256887 6643575.819011467)
471,pitch,true,,POINT(347714.9245138263 6643917.400048684)
471,pitch,true,,POINT(347705.66623309563 6643939.975132315)
484,pitch,true,,POINT(347253.3896830081 6643576.401341373)
471,pitch,true,,POINT(347682.295558611 6643931.097544009)
470,pitch,true,,POINT(347074.54489918426 6644266.694882308)
428,pitch,true,,POINT(347521.23526583356 6643087.717027863)
449,pitch,true,,POINT(347350.3366833515 6642603.905419452)
476,pitch,true,,POINT(346856.3445176112 6643578.200949543)
476,pitch,true,,POINT(346870.9540710911 6643597.278295352)
476,pitch,true,,POINT(346894.9457807551 6643596.826946606)
476,pitch,true,,POINT(346908.3347841722 6643576.933021438)
476,pitch,true,,POINT(346900.1201150088 6643554.348208748)
476,pitch,true,,POINT(346876.8550029664 6643548.167816143)
428,pitch,true,,POINT(347544.81700048345 6643096.017738127)
449,pitch,true,,POINT(347349.9295569592 6642578.90873471)
470,pitch,true,,POINT(347098.6437282093 6644260.04308258)
470,pitch,true,,POINT(347115.44927370636 6644266.256682782)
470,pitch,true,,POINT(347105.1370334554 6644280.723980138)
470,pitch,true,,POINT(347081.0382045146 6644287.375780172)
484,pitch,true,,POINT(347273.4141746612 6643577.566432616)
484,pitch,true,,POINT(347282.0532693445 6643554.10655105)
484,pitch,true,,POINT(347290.6923640278 6643530.646669486)
470,pitch,true,,POINT(347072.04226009606 6644267.385665)
545,pitch,true,,POINT(347263.11315445486 6644372.882516353)
476,pitch,true,,POINT(346858.3141170547 6643563.398735251)
446,pitch,true,,POINT(347677.03537736257 6642311.63368065)
446,pitch,true,,POINT(347696.2916817102 6642308.577894022)
545,pitch,true,,POINT(347284.1086264326 6644367.811001161)
484,pitch,true,,POINT(347299.33145871107 6643507.18678792)
484,pitch,true,,POINT(347307.97055339435 6643483.726906355)
545,pitch,true,,POINT(347265.80851214053 6644361.846510385)
457,pitch,true,,POINT(347866.7099509038 6643089.234614515)
467,pitch,true,,POINT(347675.83103749336 6643270.957607646)
457,pitch,true,,POINT(347879.9695549498 6643073.669551689)
484,pitch,true,,POINT(347286.34183539764 6643474.267394882)
584,pitch,true,,POINT(347516.95408688136 6643146.763975051)
484,pitch,true,,POINT(347262.87018280494 6643465.660332399)
471,pitch,true,,POINT(347690.30292998115 6643910.104017356)
601,pitch,true,,POINT(347108.8165970742 6642416.7432973655)
601,pitch,true,,POINT(347096.9671741071 6642394.729865662)
601,pitch,true,,POINT(347111.40828376106 6642394.403018905)
601,pitch,true,,POINT(347123.2576506347 6642416.416480802)
452,pitch,true,,POINT(346978.54033813043 6642166.092184067)
452,pitch,true,,POINT(346988.8662684206 6642150.5939070145)
452,pitch,true,,POINT(347002.14772850176 6642157.005247989)
452,pitch,true,,POINT(346980.44578806113 6642169.415960342)
447,pitch,true,,POINT(347723.2823596355 6642496.9857427105)
428,pitch,true,,POINT(347541.56163012015 6643105.233217016)
446,pitch,true,,POINT(347636.7714660964 6642336.932287712)
446,pitch,true,,POINT(347655.1941611749 6642323.797614037)
428,pitch,true,,POINT(347523.93580363935 6643109.376750553)
484,pitch,true,,POINT(347206.4519996167 6643559.171893389)
484,pitch,true,,POINT(347229.9208413124 6643567.7866173815)
471,pitch,true,,POINT(347706.06046355766 6643902.012607052)
428,pitch,true,,POINT(347506.5913692797 6643098.090795899)
596,pitch,true,,POINT(347157.4159976904 6641555.873283094)
596,pitch,true,,POINT(347179.49731640995 6641544.150853157)
596,pitch,true,,POINT(347196.67286558537 6641548.484761278)
596,pitch,true,,POINT(347189.88595749746 6641564.882792748)
422,pitch,true,,POINT(346605.3057252021 6642934.652879527)
422,pitch,true,,POINT(346585.14596463105 6642926.724334373)
422,pitch,true,,POINT(346590.27513756265 6642902.25615943)
419,pitch,true,,POINT(347208.5837753714 6643229.65626477)
467,pitch,true,,POINT(347671.55676459696 6643283.926906542)
419,pitch,true,,POINT(347203.86606641364 6643212.139582884)
419,pitch,true,,POINT(347179.93863317143 6643204.895417063)
419,pitch,true,,POINT(347176.0225124959 6643219.799838548)
419,pitch,true,,POINT(347199.9502881739 6643227.042873209)
422,pitch,true,,POINT(346595.40431049425 6642877.787984488)
354,pitch,true,,POINT(346833.14549522044 6643777.433676046)
446,pitch,true,,POINT(347643.30076312646 6642348.6246399265)
447,pitch,true,,POINT(347749.82641974394 6642444.095288251)
354,pitch,true,,POINT(346847.1616110818 6643798.1350889485)
354,pitch,true,,POINT(346865.182008671 6643798.12139484)
354,pitch,true,,POINT(346881.3956692262 6643783.263458512)
354,pitch,true,,POINT(346867.37968107284 6643762.561959144)
354,pitch,true,,POINT(346850.22940845287 6643758.074659175)
354,pitch,true,,POINT(346829.50804058975 6643772.061256828)
457,pitch,true,,POINT(347872.7700956258 6643049.614345113)
457,pitch,true,,POINT(347861.98904043157 6643072.1702500805)
522,pitch,true,,POINT(347623.1076379857 6642366.012056949)
522,pitch,true,,POINT(347629.9623442722 6642349.585395233)
522,pitch,true,,POINT(347614.8161251235 6642351.398504609)
524,pitch,true,,POINT(346810.5155068488 6642262.737110898)
524,pitch,true,,POINT(346822.4644644068 6642284.696674038)
524,pitch,true,,POINT(346838.2761334929 6642293.604825769)
524,pitch,true,,POINT(346832.77362354513 6642273.553771893)
524,pitch,true,,POINT(346818.8670408311 6642258.208077508)
525,pitch,true,,POINT(346835.3721682617 6642295.1791731175)
525,pitch,true,,POINT(346849.2954664744 6642311.309384917)
525,pitch,true,,POINT(346842.18758634635 6642291.484281982)
368,pitch,true,,POINT(347623.89631822985 6643997.17472647)
368,pitch,true,,POINT(347644.68561620486 6644011.0601537125)
368,pitch,true,,POINT(347642.3764961399 6643997.73145091)
368,pitch,true,,POINT(347624.1530554159 6643996.791614251)
369,pitch,true,,POINT(346910.2672064634 6643414.572656201)
369,pitch,true,,POINT(346919.1051940101 6643391.186977333)
397,pitch,true,,POINT(347216.14939571486 6642334.325990665)
397,pitch,true,,POINT(347204.30322848633 6642312.310806768)
397,pitch,true,,POINT(347214.6448693801 6642296.977978698)
397,pitch,true,,POINT(347232.6141495085 6642298.6656294335)
397,pitch,true,,POINT(347242.6209783193 6642320.12475311)
397,pitch,true,,POINT(347220.5909224188 6642331.943240197)
447,pitch,true,,POINT(347765.34914458025 6642454.052831647)
447,pitch,true,,POINT(347767.1409950363 6642472.976992206)
369,pitch,true,,POINT(346927.94318155677 6643367.801298465)
369,pitch,true,,POINT(346947.9224015711 6643369.05622392)
369,pitch,true,,POINT(346971.31818628666 6643377.867424606)
369,pitch,true,,POINT(346994.71397100226 6643386.678625293)
369,pitch,true,,POINT(347018.1097557178 6643395.48982598)
369,pitch,true,,POINT(347041.5055404334 6643404.3010266675)
369,pitch,true,,POINT(347064.90132514894 6643413.112227354)
369,pitch,true,,POINT(347069.5756791542 6643430.387065075)
369,pitch,true,,POINT(347060.73510894796 6643453.771767734)
369,pitch,true,,POINT(347046.8512113618 6643466.001711972)
369,pitch,true,,POINT(347023.45483272214 6643457.192088452)
369,pitch,true,,POINT(347000.05845408246 6643448.382464933)
369,pitch,true,,POINT(346976.6620754428 6643439.572841414)
369,pitch,true,,POINT(346953.2656968031 6643430.763217895)
369,pitch,true,,POINT(346929.86931816343 6643421.953594376)
447,pitch,true,,POINT(347745.2116773359 6642484.981367459)
282,place_of_worship,true,Валаамское подворье,POINT(347591.6444275351 6644061.271228576)
321,place_of_worship,true,Церковь святителя Николая Чудотворца и св. мученицы царицы Александры при Путиловском заводе,POINT(347073.39236482116 6641628.921975784)
282,place_of_worship,true,Валаамское подворье,POINT(347608.62739817635 6644054.049855695)
321,place_of_worship,true,Церковь святителя Николая Чудотворца и св. мученицы царицы Александры при Путиловском заводе,POINT(347054.5389972301 6641629.419538704)
321,place_of_worship,true,Церковь святителя Николая Чудотворца и св. мученицы царицы Александры при Путиловском заводе,POINT(347050.7342889875 6641609.461429434)
282,place_of_worship,true,Валаамское подворье,POINT(347628.45217528555 6644069.273569616)
282,place_of_worship,true,Валаамское подворье,POINT(347603.80814332294 6644097.341002905)
282,place_of_worship,true,Валаамское подворье,POINT(347592.10975811334 6644085.132051005)
282,place_of_worship,true,Валаамское подворье,POINT(347648.2441953791 6644084.546114235)
282,place_of_worship,true,Валаамское подворье,POINT(347604.438407402 6644084.808766656)
321,place_of_worship,true,Церковь святителя Николая Чудотворца и св. мученицы царицы Александры при Путиловском заводе,POINT(347103.7590302278 6641601.934002044)
321,place_of_worship,true,Церковь святителя Николая Чудотворца и св. мученицы царицы Александры при Путиловском заводе,POINT(347088.89314851916 6641590.707425993)
282,place_of_worship,true,Валаамское подворье,POINT(347624.91312110116 6644095.751654389)
282,place_of_worship,true,Валаамское подворье,POINT(347649.0140080786 6644101.545321439)
282,place_of_worship,true,Валаамское подворье,POINT(347573.77677911683 6644074.409348583)
282,place_of_worship,true,Валаамское подворье,POINT(347593.4687817235 6644071.256710796)
321,place_of_worship,true,Церковь святителя Николая Чудотворца и св. мученицы царицы Александры при Путиловском заводе,POINT(347066.45645487926 6641601.734428238)
282,place_of_worship,true,Валаамское подворье,POINT(347579.54400679877 6644091.320066205)
282,place_of_worship,true,Валаамское подворье,POINT(347641.37223369034 6644087.581790457)
67019,place_of_worship,true,,POINT(347640.1719822339 6644080.603186091)
282,place_of_worship,true,Валаамское подворье,POINT(347644.96408549225 6644102.5326562)
321,place_of_worship,true,Церковь святителя Николая Чудотворца и св. мученицы царицы Александры при Путиловском заводе,POINT(347095.8295525023 6641617.895978824)
401,playground,true,,POINT(346845.0136482992 6642452.550174994)
317,playground,true,,POINT(348059.459347294 6643194.593683138)
317,playground,true,,POINT(348046.3210653636 6643181.947035008)
370,playground,true,,POINT(347601.86127343355 6643693.641449985)
370,playground,true,,POINT(347581.3650240649 6643707.955909871)
370,playground,true,,POINT(347573.94820138393 6643688.779564616)
370,playground,true,,POINT(347587.5145496322 6643675.23953994)
504,playground,true,,POINT(347050.0845303321 6642978.997028825)
381,playground,true,,POINT(347276.5619728254 6642451.1419568155)
381,playground,true,,POINT(347298.42396697245 6642439.015406938)
153359,playground,true,,POINT(347138.7005616956 6642412.947034619)
